ticker,score,verdict,entry_quality,edge_position,breakout_risk,structure_score,regime_score,liquidity_score,support,resistance,range_width_pct,position_in_range,support_touches,resistance_touches,containment_ratio,rotation_count,tightness,trend_leakage,adx_14,atr_pct,ema20_slope_pct,avg_volume_20,avg_dollar_volume_20,latest_close,data_start,data_end,risk_note,reason,skip_reason
AEP,50.0,WIDE_RANGE,58.5,UPPER_HALF,LOW,55.7,77.6,83.3,113.35,134.56,18.71,0.793,17,25,0.8917,1,0.6693,0.4375,13.32,1.96,1.02,2789753.0,374629181.0,130.16,2025-11-14,2026-05-08,HIGH_UPSIDE_BREAKOUT_RISK,Only 1 rotations (weak); width 18.7% (too wide); stale (recent containment 55%),
EXC,50.0,TRENDING_NOT_RANGE,51.8,NEAR_SUPPORT,MODERATE,62.7,37.9,88.1,43.06,49.61,15.2,0.13,33,25,0.9583,2,0.6376,0.2727,34.79,2.26,-4.7,8836026.0,410921107.0,43.91,2025-11-14,2026-05-08,,Only 2 rotations (weak); width 15.2% (too wide); ADX 35 (trending); price near support; breakout risk moderate,
FAST,74.71,RANGE_PRESSING_SUPPORT,46.2,NEAR_SUPPORT,MODERATE,70.5,70.6,77.3,43.34,48.23,11.29,0.17,14,8,0.6167,6,0.4323,0.4464,17.28,2.4,-3.12,7341672.0,329876779.0,44.17,2025-11-14,2026-05-08,HIGH_DOWNSIDE_BREAKDOWN_RISK,6 rotations (strong); width 11.3% (wide); strong reactions; price near support; breakout risk moderate,
ODFL,20.0,MESSY_RANGE,,,N/A,,,,,,,,,,,,,,24.1,4.09,4.0,2039983.0,429030770.0,198.33,2025-11-14,2026-05-08,,,No clear range structure detected
KHC,65.0,WATCHLIST,43.9,UPPER_HALF,LOW,67.2,75.2,76.4,21.96,24.74,12.67,0.719,21,37,0.775,4,0.6078,0.48,17.57,2.45,-0.18,14355306.0,323330173.0,23.96,2025-11-14,2026-05-08,HIGH_DOWNSIDE_BREAKDOWN_RISK,4 rotations (adequate); width 12.7% (wide); strong reactions,
EA,40.0,BROKEN_DOWN,0.0,BROKEN_DOWN,HIGH,50.1,85.0,48.6,203.41,203.6,0.1,-15.632,48,49,0.0583,8,0.5908,0.3214,15.42,0.45,-0.19,1645620.0,332818423.0,200.44,2025-11-14,2026-05-08,HIGH_DOWNSIDE_BREAKDOWN_RISK,8 rotations (strong); width 0.1% (tight); weak reactions; BROKEN below support; breakout risk HIGH; entry not ideal (0),
BKR,50.0,TRENDING_NOT_RANGE,13.4,MID_RANGE,LOW,48.8,43.0,100.0,59.07,70.2,18.85,0.433,23,8,0.4833,1,0.5301,0.4667,24.32,3.24,6.09,8835491.0,572999438.0,63.89,2025-11-14,2026-05-08,HIGH_UPSIDE_BREAKOUT_RISK,Only 1 rotations (weak); width 18.9% (too wide); EMA slope 6.1% (directional); strong reactions; price mid-range (wait for edge); entry not ideal (13),
CSX,40.0,BROKEN_UP,0.0,BROKEN_UP,MODERATE,54.5,25.7,100.0,34.56,43.18,24.94,1.191,11,11,0.8167,1,0.5979,0.5185,29.94,1.97,7.63,11862172.0,527232747.0,44.83,2025-11-14,2026-05-08,HIGH_UPSIDE_BREAKOUT_RISK,Only 1 rotations (weak); width 24.9% (too wide); strong reactions; BROKEN above resistance; breakout risk moderate; entry not ideal (0),
XEL,87.35,EXCELLENT_RANGE,58.3,LOWER_HALF,LOW,83.0,89.3,86.8,78.59,82.43,4.89,0.208,30,28,0.4417,11,0.5269,0.2727,13.32,2.08,-0.08,4987223.0,400747519.0,79.39,2025-11-14,2026-05-08,,11 rotations (strong); width 4.9% (good); strong reactions,
DDOG,20.0,MESSY_RANGE,,,N/A,,,,,,,,,,,,,,27.88,5.3,22.39,6472672.0,966831457.0,200.16,2025-11-14,2026-05-08,,,No clear range structure detected
TEAM,30.0,TRENDING_NOT_RANGE,48.2,LOWER_HALF,LOW,61.0,45.8,92.3,65.97,164.88,149.92,0.259,19,24,0.9333,1,0.7499,0.2778,25.99,6.77,16.65,10309599.0,798703155.0,91.6,2025-11-14,2026-05-08,HIGH_DOWNSIDE_BREAKDOWN_RISK,Only 1 rotations (weak); width 149.9% (too wide); EMA slope 16.6% (directional); strong reactions,
ZS,30.0,TRENDING_NOT_RANGE,53.4,LOWER_HALF,LOW,52.7,67.3,81.4,128.71,229.3,78.15,0.233,10,12,0.725,1,0.63,0.7364,15.0,4.99,0.77,2640760.0,360862598.0,152.13,2025-11-14,2026-05-08,HIGH_DOWNSIDE_BREAKDOWN_RISK,Only 1 rotations (weak); width 78.2% (too wide); trend leakage 74%; strong reactions,
